"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","20/326","364/17643",1.5481980072038e-05,0.000681690290166441,0.000549841058919947,"Mtss1/Snca/Fhod3/Map1b/Arhgef2/Shank1/Ccdc88a/Carmil3/Slain1/Eps8/Fgf13/Mapt/Tgfbr1/Apc/Mef2c/Akap13/Rasa1/Tenm1/Sptbn1/Prox1",20
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","24/326","491/17643",1.55984594778093e-05,0.000681690290166441,0.000549841058919947,"Mtss1/Snca/Fhod3/Map1b/Arhgef2/Shank1/Rock1/Ccdc88a/Carmil3/Lrp1/Slain1/Eps8/Dynlt1a/Fgf13/Mapt/Tgfbr1/Apc/Mef2c/Akap13/Rasa1/Tenm1/Gsk3b/Sptbn1/Prox1",24
"GO:0099172","GO:0099172","presynapse organization","8/326","61/17643",1.5666649045305e-05,0.000681690290166441,0.000549841058919947,"Nrg1/Snca/Il1rapl2/Farp1/Ntng2/Ntrk3/Grid2/Cntn5",8
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","10/326","100/17643",1.607271666627e-05,0.000690933169460862,0.00055729622530859,"Prkcg/Cacna1a/Snca/Unc13b/Dtnbp1/Cacna1b/Sv2b/Prkcb/Mef2c/Unc13a",10
"GO:0007015","GO:0007015","actin filament organization","22/326","428/17643",1.64748332906417e-05,0.000699788156916783,0.000564438524017726,"Zeb2/Pcdh15/Rufy3/Mical3/Mtss1/Fhod3/Arhgef2/Shank1/Dpysl3/Ccdc88a/Carmil3/Eps8/Pacsin1/Myo5b/Tgfbr1/Phactr1/Rasa1/Sorbs1/Tenm1/Myo5a/Sptbn1/Prox1",22
"GO:0051345","GO:0051345","positive regulation of hydrolase activity","23/326","463/17643",1.82246647818822e-05,0.000757634302473425,0.000611096348525592,"Grin2b/Snca/Rapgefl1/Agap1/Rap1gap2/Rgs11/Agap3/Rock1/Rasgef1b/Gnao1/Rapgef4/Rgs6/Ntrk3/Sema4d/Epha4/Fgfr1/Mef2c/Rasa1/Dock9/Srgap2/Garnl3/Gsk3b/Map4k4",23
"GO:0007611","GO:0007611","learning or memory","18/326","308/17643",1.82613649138774e-05,0.000757634302473425,0.000611096348525592,"Nrg1/Taco1/Grin2b/Jph4/Camk4/Ephb2/Gria1/Shank2/Shank1/Pde8b/Sorcs3/Ube3a/Fgf13/Grm7/Mapt/Mef2c/Prrt1/Nfix",18
"GO:0048668","GO:0048668","collateral sprouting","6/326","31/17643",1.89497068542636e-05,0.000777155793747272,0.000626842087592944,"Zeb2/Lrp1/Ulk2/Sema4d/Fgf13/Nfix",6
"GO:0050885","GO:0050885","neuromuscular process controlling balance","8/326","63/17643",1.99546651254904e-05,0.000809070967815339,0.000652584383410177,"Rbfox1/Pcdh15/Jph4/Cacna1a/Shank1/Pde8b/Camta1/Myo5a",8
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","16/326","254/17643",2.14760058849229e-05,0.000860970662892189,0.000694445891063029,"Taco1/Cacna1a/Ephb2/Fhl1/Cacng8/Fgf12/Dnm2/Shank1/Hecw1/Cacna1d/Pde4b/Nr3c2/Fgf13/Mef2c/Prrt1/Myo5a",16
"GO:0050890","GO:0050890","cognition","19/326","343/17643",2.25983415545557e-05,0.000895898696296165,0.000722618313569069,"Nrg1/Chl1/Taco1/Grin2b/Jph4/Camk4/Ephb2/Gria1/Shank2/Shank1/Pde8b/Sorcs3/Ube3a/Fgf13/Grm7/Mapt/Mef2c/Prrt1/Nfix",19
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","11/326","127/17643",2.39542656693251e-05,0.000939217801188485,0.000757558847194158,"Grin2b/Snca/Gria1/Unc13b/Tmem108/Shank1/Grid2/Gabrg3/Nr3c2/Mef2c/Gsk3b",11
"GO:0046620","GO:0046620","regulation of organ growth","10/326","105/17643",2.46934246489181e-05,0.000957675425514563,0.000772446487301397,"Nrg1/Nr3c1/Foxp1/Wwc1/Vgll4/Fgfr1/Tgfbr1/Apc/Mef2c/Prox1",10
"GO:0031032","GO:0031032","actomyosin structure organization","14/326","203/17643",2.59900449604284e-05,0.000997123445363531,0.000804264662386091,"Zeb2/Fhod3/Epb41l4a/Rock1/Frmd5/Ccdc88a/Myo18a/Frmd3/Tgfbr1/Mef2c/Phactr1/Akap13/Sorbs1/Prox1",14
"GO:0021953","GO:0021953","central nervous system neuron differentiation","13/326","178/17643",2.77002835772333e-05,0.00105143204046349,0.000848069152297379,"Zeb2/Plxna4/Cacna1a/Ephb2/Bcl11b/Lmo4/Grid2/Epha4/Sema3e/Fgfr1/Nrp2/Nfix/Prox1",13
"GO:0045664","GO:0045664","regulation of neuron differentiation","14/326","205/17643",2.89764407417152e-05,0.00108829411122568,0.000877801540031573,"Bcl6/Dab1/Map1b/Arhgef2/Bend6/Rock1/Cntn4/Bcl11b/Zfp536/Rgs6/Fgfr1/Mef2c/Gsk3b/Prox1",14
"GO:0014047","GO:0014047","glutamate secretion","6/326","34/17643",3.30358649074804e-05,0.00122434161205986,0.000987535392781349,"Grin2b/Apba1/Nr3c1/Snca/Dtnbp1/Grm7",6
"GO:0045926","GO:0045926","negative regulation of growth","15/326","235/17643",3.32850718525243e-05,0.00122434161205986,0.000987535392781349,"Slit3/Bcl6/Foxp1/Fhl1/D130043K22Rik/Wwc1/Vgll4/Ulk2/Trim46/Sema6d/Sema4d/Sema3e/Fgf13/Apc/Gsk3b",15
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","14/326","209/17643",3.58661295188085e-05,0.00130581989921539,0.00105325454462323,"Rimbp2/Prkcg/Cacna1a/Snca/Ptprn2/Unc13b/Dtnbp1/Cacna1b/Sv2b/Lin7a/Prkcb/Mef2c/Syn3/Unc13a",14
"GO:0045165","GO:0045165","cell fate commitment","15/326","237/17643",3.67091750449306e-05,0.0013074036774677,0.00105453199616376,"Nrg1/Arhgef2/Bcl11b/Myt1l/Tenm4/Lmo4/Ntrk3/Fgfr1/Fgf13/Tgfbr1/Apc/Mef2c/Nfia/Nfix/Prox1",15
"GO:0060996","GO:0060996","dendritic spine development","11/326","133/17643",3.68366151719201e-05,0.0013074036774677,0.00105453199616376,"Nr3c1/Ephb2/Shank1/Dtnbp1/Ube3a/Myo5b/Tanc2/Epha4/Mef2c/Srgap2/Dnm3",11
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","10/326","110/17643",3.70089045471518e-05,0.0013074036774677,0.00105453199616376,"Rimbp2/Prkcg/Cacna1a/Snca/Unc13b/Dtnbp1/Cacna1b/Sv2b/Prkcb/Unc13a",10
"GO:0048679","GO:0048679","regulation of axon regeneration","6/326","35/17643",3.9255916421475e-05,0.00137318735090022,0.00110759211038506,"Nrg1/Xylt1/D130043K22Rik/Lrp1/Ntrk3/Epha4",6
"GO:0055021","GO:0055021","regulation of cardiac muscle tissue growth","8/326","71/17643",4.82323077877584e-05,0.00167080460375458,0.00134764567697222,"Nrg1/Nr3c1/Foxp1/Vgll4/Fgfr1/Tgfbr1/Apc/Mef2c",8
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","10/326","114/17643",5.03282706924238e-05,0.00171020256981493,0.00137942347942944,"Grin2b/Snca/Gria1/Unc13b/Tmem108/Shank1/Grid2/Anks1b/Mef2c/Gsk3b",10
"GO:0106027","GO:0106027","neuron projection organization","10/326","114/17643",5.03282706924238e-05,0.00171020256981493,0.00137942347942944,"Grin2b/Ephb2/Shank1/Dtnbp1/Ube3a/Myo5b/Tanc2/Epha4/Dnm3/Gsk3b",10
"GO:0050773","GO:0050773","regulation of dendrite development","11/326","138/17643",5.17565219106238e-05,0.00174214405827458,0.0014051870000362,"Dpysl5/Ephb2/Dgkg/D130043K22Rik/Hecw1/Rapgef4/Pacsin1/Myo5b/Sema4d/Epha4/Gsk3b",11
"GO:0051962","GO:0051962","positive regulation of nervous system development","19/326","365/17643",5.26402348571439e-05,0.00175533044832046,0.00141582294244399,"Nrg1/Zeb2/Plxna4/Rufy3/Ephb2/Flrt2/Map1b/Lrp1/Tenm4/Myo5b/Ntrk3/Macf1/Grid2/Dscam/L1cam/Sema4d/Epha4/Mapt/Gsk3b",19
"GO:0006836","GO:0006836","neurotransmitter transport","14/326","217/17643",5.40691144129977e-05,0.00177527073040729,0.00143190647183547,"Rimbp2/Prkcg/Cacna1a/Snca/Ptprn2/Unc13b/Dtnbp1/Cacna1b/Sv2b/Lin7a/Prkcb/Mef2c/Syn3/Unc13a",14
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","10/326","115/17643",5.42333266856486e-05,0.00177527073040729,0.00143190647183547,"Bcl6/Rock1/Nexmif/Lrp1/Macf1/Sema3e/Cdh13/Rasa1/Gsk3b/Map4k4",10
"GO:0050769","GO:0050769","positive regulation of neurogenesis","17/326","305/17643",5.64029842764134e-05,0.00182950770816585,0.00147565319628435,"Nrg1/Zeb2/Plxna4/Rufy3/Ephb2/Map1b/Lrp1/Tenm4/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Epha4/Mapt/Gsk3b",17
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","14/326","220/17643",6.27338996660501e-05,0.00200134264121843,0.00161425264960208,"Nrg1/Bcl6/Ephb2/Rasal1/Rap1gap2/Arhgef2/Dnm2/Cyth3/Iqsec2/Eps8/Dynlt1a/Akap13/Garnl3/Map4k4",14
"GO:0060291","GO:0060291","long-term synaptic potentiation","10/326","117/17643",6.2822414746767e-05,0.00200134264121843,0.00161425264960208,"Prkcg/Grin2b/Snca/Ephb2/Mir124a-1hg/Shank2/Epha4/Prrt1/Gsk3b/Unc13a",10
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","14/326","221/17643",6.58797799444706e-05,0.00206347468443966,0.00166436741422529,"Frmd4a/Rufy3/Map1b/Arhgef2/Cyth3/Cep290/Myo18a/Macf1/Lin7a/Kif26b/Fgf13/Apc/Frmd4b/Gsk3b",14
"GO:0014048","GO:0014048","regulation of glutamate secretion","5/326","24/17643",6.65077322619285e-05,0.00206347468443966,0.00166436741422529,"Grin2b/Nr3c1/Snca/Dtnbp1/Grm7",5
"GO:0048665","GO:0048665","neuron fate specification","5/326","24/17643",6.65077322619285e-05,0.00206347468443966,0.00166436741422529,"Myt1l/Lmo4/Ntrk3/Nfia/Nfix",5
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","9/326","96/17643",7.11578487527956e-05,0.00218805096335657,0.00176484875319119,"Bcl6/Dab1/Map1b/Arhgef2/Bend6/Rgs6/Fgfr1/Mef2c/Prox1",9
"GO:0060997","GO:0060997","dendritic spine morphogenesis","8/326","75/17643",7.17494290114123e-05,0.00218805096335657,0.00176484875319119,"Ephb2/Shank1/Dtnbp1/Ube3a/Myo5b/Tanc2/Epha4/Dnm3",8
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","10/326","119/17643",7.25422872826131e-05,0.00219348204257935,0.00176922937939932,"Prkcg/Cacna1a/Snca/Unc13b/Dtnbp1/Cacna1b/Sv2b/Prkcb/Mef2c/Unc13a",10
"GO:1903532","GO:1903532","positive regulation of secretion by cell","18/326","344/17643",7.74102654861268e-05,0.00232100695171849,0.00187208903882415,"Frmd4a/Grin2b/Nr3c1/Snca/Unc13b/Dtnbp1/Rapgef4/Mcu/Lrp1/Myo18a/Cacna1d/Cacna1b/Myo5b/Smpd3/Fgfr1/Prkcb/Irs1/Unc13a",18
"GO:0014706","GO:0014706","striated muscle tissue development","15/326","254/17643",8.07627724274381e-05,0.00240134643350916,0.00193688964751417,"Nrg1/Nr3c1/Foxp1/Hdac7/Fhod3/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c/Akap13/Sorbs2/Gsk3b/Prox1",15
"GO:0014855","GO:0014855","striated muscle cell proliferation","8/326","77/17643",8.66752464250391e-05,0.00253767714996215,0.00204685193769074,"Nrg1/Foxp1/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c",8
"GO:1990778","GO:1990778","protein localization to cell periphery","19/326","379/17643",8.67703509796475e-05,0.00253767714996215,0.00204685193769074,"Snca/Ephb2/Pacs1/Rock1/Ccdc88a/Iqsec2/Rapgef4/Lrp1/Pacsin1/Myo5b/Macf1/Lin7a/C1ql3/Tspan18/Fgf13/Sorbs1/Myo5a/Gsk3b/Sptbn1",19
"GO:0030900","GO:0030900","forebrain development","19/326","380/17643",8.98283334978663e-05,0.00260575198309258,0.00210176006660818,"Nrg1/Zeb2/Plxna4/Ulk4/Ephb2/Dab1/Tmem108/Bcl11b/Ski/Kirrel3/Sema3e/Fgfr1/Fgf13/Phactr1/Nrp2/Srgap2/Gsk3b/Nfix/Prox1",19
"GO:0001708","GO:0001708","cell fate specification","8/326","78/17643",9.50514813358784e-05,0.00271314948325131,0.00218838526292456,"Myt1l/Tenm4/Lmo4/Ntrk3/Fgfr1/Apc/Nfia/Nfix",8
"GO:0021675","GO:0021675","nerve development","8/326","78/17643",9.50514813358784e-05,0.00271314948325131,0.00218838526292456,"Prkcg/Plxna4/Kcnq3/Ephb2/Unc13b/Nav2/Nrp2/Unc13a",8
"GO:0097479","GO:0097479","synaptic vesicle localization","7/326","60/17643",0.000114968539123871,0.0032556170443966,0.0026259313781509,"Snca/Kif5a/Dtnbp1/Trim46/Lin7a/Syn3/Dnm3",7
"GO:0008045","GO:0008045","motor neuron axon guidance","5/326","27/17643",0.00012070603971798,0.00339117440719491,0.00273526989298763,"Plxna4/Foxp1/Lmo4/Epha4/Alcam",5
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","8/326","81/17643",0.000124296068150734,0.00346475289970171,0.00279461719016535,"Grin2b/Cacng8/Shank2/Dtnbp1/Iqsec2/Grm7/Mef2c/Myo5a",8
"GO:0048738","GO:0048738","cardiac muscle tissue development","14/326","235/17643",0.000126749288139869,0.00350574775258181,0.00282768301733499,"Nrg1/Nr3c1/Foxp1/Fhod3/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c/Akap13/Sorbs2/Gsk3b/Prox1",14
"GO:0051648","GO:0051648","vesicle localization","13/326","207/17643",0.000130363058214635,0.00357796455161397,0.00288593199318875,"Ahi1/Snca/Kif5a/Dtnbp1/Trim46/Myo5b/Tanc2/Lin7a/Smpd3/Syn3/Exoc6b/Dnm3/Myo5a",13
"GO:0097061","GO:0097061","dendritic spine organization","9/326","105/17643",0.000142669619891226,0.00388584125016713,0.00313426067322308,"Grin2b/Ephb2/Shank1/Dtnbp1/Ube3a/Myo5b/Tanc2/Epha4/Dnm3",9
"GO:0060537","GO:0060537","muscle tissue development","20/326","428/17643",0.000147273520997953,0.00397994674726944,0.00321016474127763,"Nrg1/Rbfox1/Nr3c1/Foxp1/Hdac7/Fhod3/Bcl9/Vgll4/Ski/Tenm4/Fgfr1/Tgfbr1/Dner/Apc/Mef2c/Akap13/Sorbs2/Gsk3b/Nfix/Prox1",20
"GO:0071526","GO:0071526","semaphorin-plexin signaling pathway","6/326","44/17643",0.000148467481803712,0.00397994674726944,0.00321016474127763,"Plxna4/Sema6d/Sema4d/Sema3e/Mef2c/Nrp2",6
"GO:0007612","GO:0007612","learning","12/326","182/17643",0.000149471094207989,0.00397994674726944,0.00321016474127763,"Taco1/Grin2b/Jph4/Ephb2/Shank2/Shank1/Pde8b/Sorcs3/Ube3a/Fgf13/Grm7/Nfix",12
"GO:0031102","GO:0031102","neuron projection regeneration","7/326","63/17643",0.000157096717832881,0.00415200806835348,0.00334894679575124,"Nrg1/Xylt1/D130043K22Rik/Lrp1/Ntrk3/Epha4/Map4k4",7
"GO:0007162","GO:0007162","negative regulation of cell adhesion","15/326","271/17643",0.000165502144145438,0.00434199742875679,0.00350218933509,"Bcl6/Plxna4/Ephb2/Dab1/Zfp608/Nexmif/Lrp1/Dscaml1/Dscam/Sema4d/Epha4/Sema3e/Cdh13/Adamts18/Rasa1",15
"GO:0048489","GO:0048489","synaptic vesicle transport","6/326","45/17643",0.000168674822313014,0.00438473423201941,0.00353666019304374,"Snca/Kif5a/Dtnbp1/Trim46/Lin7a/Dnm3",6
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","10/326","132/17643",0.000172318611926132,0.00438473423201941,0.00353666019304374,"Nrg1/Cacng8/Iqsec2/Rapgef4/Eps8/Pacsin1/Cpt1c/C1ql3/Dnm3/Gsk3b",10
"GO:0007160","GO:0007160","cell-matrix adhesion","13/326","213/17643",0.000173153958550436,0.00438473423201941,0.00353666019304374,"Bcl6/Rock1/Nexmif/Lrp1/Macf1/L1cam/Sema3e/Cdh13/Rasa1/Sorbs1/Ptprk/Gsk3b/Map4k4",13
"GO:0030308","GO:0030308","negative regulation of cell growth","12/326","185/17643",0.000174216670059873,0.00438473423201941,0.00353666019304374,"Slit3/Bcl6/Foxp1/Fhl1/D130043K22Rik/Vgll4/Ulk2/Trim46/Sema6d/Sema4d/Sema3e/Fgf13",12
"GO:0051047","GO:0051047","positive regulation of secretion","18/326","367/17643",0.000174224879961241,0.00438473423201941,0.00353666019304374,"Frmd4a/Grin2b/Nr3c1/Snca/Unc13b/Dtnbp1/Rapgef4/Mcu/Lrp1/Myo18a/Cacna1d/Cacna1b/Myo5b/Smpd3/Fgfr1/Prkcb/Irs1/Unc13a",18
"GO:0007613","GO:0007613","memory","11/326","158/17643",0.000174504557440234,0.00438473423201941,0.00353666019304374,"Nrg1/Grin2b/Camk4/Gria1/Shank2/Shank1/Sorcs3/Fgf13/Grm7/Mapt/Nfix",11
"GO:0032970","GO:0032970","regulation of actin filament-based process","18/326","368/17643",0.000180164560811123,0.00449529477604256,0.00362583665261398,"Zeb2/Mtss1/Fhod3/Shank1/Rock1/Ccdc88a/Carmil3/Lrp1/Eps8/Pde4b/Fgf13/Tgfbr1/Mef2c/Akap13/Rasa1/Tenm1/Sptbn1/Prox1",18
"GO:0051650","GO:0051650","establishment of vesicle localization","12/326","186/17643",0.000183207105936996,0.00453946495821667,0.00366146365227885,"Ahi1/Snca/Kif5a/Dtnbp1/Trim46/Myo5b/Tanc2/Lin7a/Smpd3/Exoc6b/Dnm3/Myo5a",12
"GO:0021766","GO:0021766","hippocampus development","8/326","86/17643",0.000189335708355398,0.00460452091053928,0.00371393679767949,"Zeb2/Dab1/Tmem108/Kirrel3/Fgf13/Gsk3b/Nfix/Prox1",8
"GO:0060998","GO:0060998","regulation of dendritic spine development","8/326","86/17643",0.000189335708355398,0.00460452091053928,0.00371393679767949,"Nr3c1/Ephb2/Shank1/Dtnbp1/Ube3a/Tanc2/Mef2c/Dnm3",8
"GO:0008038","GO:0008038","neuron recognition","6/326","46/17643",0.000190994701446136,0.00460452091053928,0.00371393679767949,"Ephb2/Dscaml1/Dscam/L1cam/Epha4/Cntn5",6
"GO:0051155","GO:0051155","positive regulation of striated muscle cell differentiation","6/326","46/17643",0.000190994701446136,0.00460452091053928,0.00371393679767949,"Nrg1/Nr3c1/Epc1/Mef2c/Gsk3b/Prox1",6
"GO:0120034","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","9/326","110/17643",0.000203411285109616,0.00487094943134974,0.00392883400557889,"Dnm2/Dpysl3/Ccdc88a/Eps8/Tgfbr1/Apc/Tenm1/Dnm3/Gsk3b",9
"GO:0042886","GO:0042886","amide transport","18/326","372/17643",0.00020573440225659,0.00489373564834341,0.00394721302294397,"Grin2b/Apba1/Nr3c1/Snca/Ptprn2/Pde8b/Dtnbp1/Gnao1/Rapgef4/Mcu/Lrp1/Cacna1d/Smpd3/Grm7/Prkcb/Irs1/Myo5a/Map4k4",18
"GO:0007628","GO:0007628","adult walking behavior","6/326","47/17643",0.000215581133698329,0.00507981487625203,0.00409730170865974,"Pcdh15/Cacna1a/Dab1/Epha4/Mapt/Uchl3",6
"GO:0007517","GO:0007517","muscle organ development","16/326","309/17643",0.000216611953561299,0.00507981487625203,0.00409730170865974,"Nrg1/Rbfox1/Foxp1/Hdac7/Mtss1/Fhl1/Bcl9/Chd2/Dtnbp1/Ski/Dpf3/Tgfbr1/Dner/Mef2c/Nfix/Prox1",16
"GO:0033555","GO:0033555","multicellular organismal response to stress","9/326","111/17643",0.000217828384547803,0.00507981487625203,0.00409730170865974,"Prkcg/Grin2b/Cacna1a/Ephb2/D130043K22Rik/Pde8b/Cacna1b/Grm7/Mef2c",9
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","12/326","190/17643",0.000223242011850706,0.00517082302265651,0.00417070750057319,"Nrg1/Bcl6/Ephb2/Rasal1/Arhgef2/Dnm2/Cyth3/Iqsec2/Eps8/Dynlt1a/Akap13/Map4k4",12
"GO:0021700","GO:0021700","developmental maturation","17/326","342/17643",0.00022462936337213,0.00517082302265651,0.00417070750057319,"Kcnq3/Cacna1a/Xylt1/Atp6v0a1/Unc13b/Shank1/Rock1/Srrm4/Sema4d/Fgfr1/Rere/Grb14/Nfia/Myo5a/Gsk3b/Nfix/Unc13a",17
"GO:0031623","GO:0031623","receptor internalization","10/326","140/17643",0.000278279201762966,0.00634409752756771,0.00511705293850901,"Ahi1/Nrg1/Ankrd13d/Snca/Gria1/Cacng8/Dnm2/Dtnbp1/Pacsin1/Dnm3",10
"GO:0048841","GO:0048841","regulation of axon extension involved in axon guidance","5/326","32/17643",0.000279154515646898,0.00634409752756771,0.00511705293850901,"Plxna4/Sema6d/Dscam/Sema4d/Sema3e",5
"GO:0070571","GO:0070571","negative regulation of neuron projection regeneration","4/326","18/17643",0.000285310693782121,0.00644296554059877,0.00519679837974895,"Xylt1/D130043K22Rik/Epha4/Map4k4",4
"GO:0001953","GO:0001953","negative regulation of cell-matrix adhesion","5/326","33/17643",0.000324069191477761,0.00724906442000092,0.00584698552167881,"Bcl6/Nexmif/Lrp1/Sema3e/Rasa1",5
"GO:0019226","GO:0019226","transmission of nerve impulse","8/326","93/17643",0.00032507015336327,0.00724906442000092,0.00584698552167881,"Kcnq3/Cacna1a/Gria1/Cacng8/Fgf12/Rapgef4/Ntrk3/Grm7",8
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","7/326","71/17643",0.000332948924852784,0.00737864449611636,0.00595150284764637,"Grin2b/Snca/Ephb2/Unc13b/Kcnn2/Gsk3b/Unc13a",7
"GO:1903829","GO:1903829","positive regulation of protein localization","21/326","492/17643",0.000346010576959382,0.00762077616414244,0.00614680258224139,"Frmd4a/Rufy3/Snca/Camk4/Ephb2/Unc13b/Ccdc88a/Rapgef4/Mcu/Cep290/Lrp1/Myo18a/Cacna1d/Myo5b/Mapt/Apc/Prkcb/Sorbs1/Myo5a/Gsk3b/Sptbn1",21
"GO:1900452","GO:1900452","regulation of long-term synaptic depression","4/326","19/17643",0.000356158918590566,0.00779616577626467,0.00628826918583538,"Sorcs3/Iqsec2/Grid2/Mapt",4
"GO:0051261","GO:0051261","protein depolymerization","9/326","119/17643",0.000366665730048491,0.00797721539520131,0.00643430106516414,"Nckap5/Mical3/Map1b/Arhgef2/Arhgef1/Eps8/Fgf13/Apc/Sptbn1",9
"GO:0098926","GO:0098926","postsynaptic signal transduction","6/326","52/17643",0.000378321882472444,0.00818092410097989,0.00659860942060391,"Nrg1/Camk4/Anks1b/Prkcb/Sorbs1/Sorbs2",6
"GO:0001508","GO:0001508","action potential","10/326","146/17643",0.000389559735513808,0.0083342109235111,0.00672224824902034,"Grin2b/Kcnq3/Foxp1/Gria1/Fgf12/Rapgef4/Cacna1d/Ntrk3/Kcnn2/Fgf13",10
"GO:0030048","GO:0030048","actin filament-based movement","9/326","120/17643",0.00039008218167779,0.0083342109235111,0.00672224824902034,"Zeb2/Uty/Rock1/Cacna1d/Myo5b/Pde4b/Kcnn2/Fgf13/Myo5a",9
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","7/326","73/17643",0.000395299832039984,0.00839541548046824,0.00677161491727642,"Snca/Ephb2/Lrp1/Myo5b/Sorbs1/Myo5a/Sptbn1",7
"GO:0050905","GO:0050905","neuromuscular process","11/326","174/17643",0.000401787307854656,0.00848270481908528,0.00684202117517676,"Rbfox1/Grin2b/Pcdh15/Jph4/Cacna1a/Fgf12/Shank1/Pde8b/Camta1/Grid2/Myo5a",11
"GO:0040013","GO:0040013","negative regulation of locomotion","16/326","327/17643",0.000406705293567288,0.00853602639675343,0.00688502955178307,"Nrg1/Zeb2/Srgap1/Frmd5/Dpysl3/Nexmif/Lrp1/Nisch/Sema6d/Sema4d/Epha4/Sema3e/Mef2c/Ptprk/Srgap2/Gsk3b",16
"GO:0031103","GO:0031103","axon regeneration","6/326","53/17643",0.000420076468247998,0.00869971631192788,0.00701705935709547,"Nrg1/Xylt1/D130043K22Rik/Lrp1/Ntrk3/Epha4",6
"GO:0090659","GO:0090659","walking behavior","6/326","53/17643",0.000420076468247998,0.00869971631192788,0.00701705935709547,"Pcdh15/Cacna1a/Dab1/Epha4/Mapt/Uchl3",6
"GO:0021543","GO:0021543","pallium development","11/326","175/17643",0.000421819204586189,0.00869971631192788,0.00701705935709547,"Zeb2/Dab1/Tmem108/Kirrel3/Fgfr1/Fgf13/Phactr1/Srgap2/Gsk3b/Nfix/Prox1",11
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","10/326","148/17643",0.000434018909651969,0.00889988200941509,0.00717850997573191,"Snca/Ephb2/Iqsec2/Rapgef4/Lrp1/Myo5b/Sorbs1/Myo5a/Gsk3b/Sptbn1",10
"GO:0032252","GO:0032252","secretory granule localization","4/326","20/17643",0.0004387540435873,0.0089455681572542,0.0072153597303319,"Kif5a/Trim46/Tanc2/Myo5a",4
"GO:0007605","GO:0007605","sensory perception of sound","10/326","149/17643",0.000457782599337653,0.00928050178657243,0.00748551212074847,"Pcdh15/Kcnq3/Mir124a-1hg/Srrm4/Gsdme/Cacna1d/Nav2/Fgfr1/Grm7/Cntn5",10
"GO:0050954","GO:0050954","sensory perception of mechanical stimulus","11/326","180/17643",0.000534990828029742,0.0107844478780233,0.00869857224997511,"Grin2b/Pcdh15/Kcnq3/Mir124a-1hg/Srrm4/Gsdme/Cacna1d/Nav2/Fgfr1/Grm7/Cntn5",11
"GO:0051402","GO:0051402","neuron apoptotic process","16/326","337/17643",0.000564453807593135,0.0113144448623163,0.0091260597868695,"Prkcg/Chl1/Nr3c1/Kcnq3/Cacna1a/Polb/Snca/Ppp2r2b/Rock1/Lrp1/Grid2/Sema3e/Grm7/Mef2c/Gsk3b/Nfix",16
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","12/326","212/17643",0.000602350603546049,0.0120066310248732,0.0096843666574237,"Bcl6/Dnm2/Rock1/Nexmif/Lrp1/Macf1/L1cam/Sema3e/Cdh13/Rasa1/Gsk3b/Map4k4",12
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","8/326","102/17643",0.00060666152486841,0.0120253795596138,0.00969948894146334,"Pcdh15/Dscaml1/Kirrel3/Dscam/L1cam/Cdh13/Cntn5/Cdh10",8
"GO:0007019","GO:0007019","microtubule depolymerization","6/326","57/17643",0.000624235539464747,0.0123053724022664,0.00992532692583087,"Nckap5/Map1b/Arhgef2/Arhgef1/Fgf13/Apc",6
"GO:0001956","GO:0001956","positive regulation of neurotransmitter secretion","4/326","22/17643",0.000643410160023864,0.0125447401692085,0.0101183973396908,"Snca/Dtnbp1/Cacna1b/Unc13a",4
"GO:0048670","GO:0048670","regulation of collateral sprouting","4/326","22/17643",0.000643410160023864,0.0125447401692085,0.0101183973396908,"Lrp1/Ulk2/Sema4d/Fgf13",4
