Description,p.adjust,Regulation,CellType,Comparison
Phagosome - Mus musculus (house mouse),8.2746197010243e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Oocyte meiosis - Mus musculus (house mouse),1.22706078646078e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),1.4702882109239845e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Dopaminergic synapse - Mus musculus (house mouse),2.4974452156119987e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),4.5396558752322383e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Salivary secretion - Mus musculus (house mouse),5.5123706617439e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),5.636061326982309e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Cardiac muscle contraction - Mus musculus (house mouse),5.636061326982309e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),0.001011164188656619,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Amphetamine addiction - Mus musculus (house mouse),0.001011164188656619,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Circadian entrainment - Mus musculus (house mouse),0.001011164188656619,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),0.001407809816620903,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Hippo signaling pathway - Mus musculus (house mouse),0.0027768963767609497,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Insulin secretion - Mus musculus (house mouse),0.002896994661000478,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Rap1 signaling pathway - Mus musculus (house mouse),0.004275356975695729,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.004275356975695729,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Diabetic cardiomyopathy - Mus musculus (house mouse),0.004275356975695729,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
PI3K-Akt signaling pathway - Mus musculus (house mouse),0.004359187274065769,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Glucagon signaling pathway - Mus musculus (house mouse),0.006353557400790718,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.006353557400790718,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Thermogenesis - Mus musculus (house mouse),0.007178661500756476,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),0.009044073301512702,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),0.010860543148810901,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.011719496241787173,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Neurotrophin signaling pathway - Mus musculus (house mouse),0.011866325488332777,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Hepatitis C - Mus musculus (house mouse),0.0127593264440848,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Lipid and atherosclerosis - Mus musculus (house mouse),0.013201069023346253,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.013201069023346253,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Phototransduction - Mus musculus (house mouse),0.016712865056426173,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Viral carcinogenesis - Mus musculus (house mouse),0.01687811346692846,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),0.016903636835794152,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
ATP-dependent chromatin remodeling - Mus musculus (house mouse),0.017700438932939842,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Long-term depression - Mus musculus (house mouse),0.019706776559539792,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Oxidative phosphorylation - Mus musculus (house mouse),0.019706776559539792,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Spinocerebellar ataxia - Mus musculus (house mouse),0.019706776559539792,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Human immunodeficiency virus 1 infection - Mus musculus (house mouse),0.02100481868537871,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Dilated cardiomyopathy - Mus musculus (house mouse),0.02315087544100817,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Long-term potentiation - Mus musculus (house mouse),0.02640233141231865,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Human cytomegalovirus infection - Mus musculus (house mouse),0.02688404649178029,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Cell cycle - Mus musculus (house mouse),0.02975769775219239,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Pancreatic secretion - Mus musculus (house mouse),0.03317148024576571,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Non-alcoholic fatty liver disease - Mus musculus (house mouse),0.03317148024576571,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Glioma - Mus musculus (house mouse),0.03547174253517258,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Renin secretion - Mus musculus (house mouse),0.03594619084539321,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Nicotine addiction - Mus musculus (house mouse),0.03594619084539321,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Pertussis - Mus musculus (house mouse),0.0367418447127193,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Tight junction - Mus musculus (house mouse),0.037859630650538066,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.046286051673446224,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.021102134701252273,Up,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
GnRH secretion - Mus musculus (house mouse),0.021102134701252273,Up,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Axon guidance - Mus musculus (house mouse),0.021102134701252273,Up,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Phagosome - Mus musculus (house mouse),2.060044327081007e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),2.060044327081007e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Motor proteins - Mus musculus (house mouse),2.060044327081007e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Prion disease - Mus musculus (house mouse),2.468371711893178e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Salmonella infection - Mus musculus (house mouse),8.138316356579306e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Gap junction - Mus musculus (house mouse),8.138316356579306e-5,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Huntington disease - Mus musculus (house mouse),3.307985380894088e-4,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Cell adhesion molecules - Mus musculus (house mouse),4.5378387205536816e-4,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Parkinson disease - Mus musculus (house mouse),7.868579493082757e-4,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),7.918511543897779e-4,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Amyotrophic lateral sclerosis - Mus musculus (house mouse),9.984390351473805e-4,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Alzheimer disease - Mus musculus (house mouse),0.0011862078596551696,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Axon guidance - Mus musculus (house mouse),0.0024189861716319683,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Glutamatergic synapse - Mus musculus (house mouse),0.0024189861716319683,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Amphetamine addiction - Mus musculus (house mouse),0.0030064400952717228,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Dopaminergic synapse - Mus musculus (house mouse),0.004374425422151318,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.006055828794826108,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Oxytocin signaling pathway - Mus musculus (house mouse),0.006055828794826108,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.006055828794826108,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Nicotine addiction - Mus musculus (house mouse),0.006055828794826108,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Circadian entrainment - Mus musculus (house mouse),0.008015639229195995,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.008015639229195995,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Tight junction - Mus musculus (house mouse),0.008015639229195995,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Dilated cardiomyopathy - Mus musculus (house mouse),0.008243912228109674,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Type II diabetes mellitus - Mus musculus (house mouse),0.008243912228109674,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Proteoglycans in cancer - Mus musculus (house mouse),0.01567034104716956,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Apoptosis - Mus musculus (house mouse),0.02055609616175331,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Cortisol synthesis and secretion - Mus musculus (house mouse),0.023316069957838838,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
GABAergic synapse - Mus musculus (house mouse),0.042705959900267,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Adherens junction - Mus musculus (house mouse),0.042705959900267,Down,ExcitatoryNeuronsCA1,PTZvsSAL_1hr
Amyotrophic lateral sclerosis - Mus musculus (house mouse),1.911911929262715e-6,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Salmonella infection - Mus musculus (house mouse),4.828346571957116e-6,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Prion disease - Mus musculus (house mouse),5.965721592001798e-6,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),5.965721592001798e-6,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Alzheimer disease - Mus musculus (house mouse),7.249392292357125e-5,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Huntington disease - Mus musculus (house mouse),1.0246593138417686e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Nicotine addiction - Mus musculus (house mouse),1.4618823581760698e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Parkinson disease - Mus musculus (house mouse),3.398177227398062e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Phagosome - Mus musculus (house mouse),3.398177227398062e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Motor proteins - Mus musculus (house mouse),4.77039452620958e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Long-term potentiation - Mus musculus (house mouse),7.311949293520797e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Amphetamine addiction - Mus musculus (house mouse),7.311949293520797e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
cAMP signaling pathway - Mus musculus (house mouse),7.311949293520797e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Gastric acid secretion - Mus musculus (house mouse),8.97518966973569e-4,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Gap junction - Mus musculus (house mouse),0.00142729411967172,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Circadian entrainment - Mus musculus (house mouse),0.0023932198831638956,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Cocaine addiction - Mus musculus (house mouse),0.003801196869138138,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Glutamatergic synapse - Mus musculus (house mouse),0.003869182703394542,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Apoptosis - Mus musculus (house mouse),0.006181732389504773,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Thermogenesis - Mus musculus (house mouse),0.006181732389504773,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.008201515572994915,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Bacterial invasion of epithelial cells - Mus musculus (house mouse),0.011654164699135033,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Tight junction - Mus musculus (house mouse),0.012158313355436812,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Antigen processing and presentation - Mus musculus (house mouse),0.015143109970649871,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Cardiac muscle contraction - Mus musculus (house mouse),0.015507180283046717,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Neuroactive ligand signaling - Mus musculus (house mouse),0.01799850985434589,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Proteoglycans in cancer - Mus musculus (house mouse),0.019997363879503547,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.02148265224082582,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Rap1 signaling pathway - Mus musculus (house mouse),0.022411893893757803,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Lipid and atherosclerosis - Mus musculus (house mouse),0.022411893893757803,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.027437219153270617,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.02798955237599859,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Calcium signaling pathway - Mus musculus (house mouse),0.03566727256533989,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Estrogen signaling pathway - Mus musculus (house mouse),0.03566727256533989,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Yersinia infection - Mus musculus (house mouse),0.035781424034703704,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Dopaminergic synapse - Mus musculus (house mouse),0.035781424034703704,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Spinocerebellar ataxia - Mus musculus (house mouse),0.03764663737123899,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Oxytocin signaling pathway - Mus musculus (house mouse),0.04573426761099342,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Mineral absorption - Mus musculus (house mouse),0.04573426761099342,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),0.04573426761099342,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Hippo signaling pathway - Mus musculus (house mouse),0.04616627272025565,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Efferocytosis - Mus musculus (house mouse),0.04897389345134248,Up,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Axon guidance - Mus musculus (house mouse),0.037934075799808925,Down,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Cell adhesion molecules - Mus musculus (house mouse),0.037934075799808925,Down,ExcitatoryNeuronsCA1,PTZvsSAL_24hr
Salmonella infection - Mus musculus (house mouse),3.014555717882364e-6,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),4.922381649811101e-4,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.0015392251314566075,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Gastric acid secretion - Mus musculus (house mouse),0.0015392251314566075,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Bacterial invasion of epithelial cells - Mus musculus (house mouse),0.0015392251314566075,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Oocyte meiosis - Mus musculus (house mouse),0.002005726151235258,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Parkinson disease - Mus musculus (house mouse),0.002005726151235258,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.002005726151235258,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Estrogen signaling pathway - Mus musculus (house mouse),0.0024749282870051162,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Phagosome - Mus musculus (house mouse),0.0024749282870051162,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Motor proteins - Mus musculus (house mouse),0.0038729056334453563,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Alzheimer disease - Mus musculus (house mouse),0.00532382551146022,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Rap1 signaling pathway - Mus musculus (house mouse),0.005563297492056594,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Lipid and atherosclerosis - Mus musculus (house mouse),0.005563297492056594,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.005563297492056594,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Tight junction - Mus musculus (house mouse),0.006029605512998263,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.006169979663066413,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.007706152469812299,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Salivary secretion - Mus musculus (house mouse),0.007706152469812299,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),0.009032901011681707,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Phototransduction - Mus musculus (house mouse),0.013176427124083932,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.013221780136221462,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Glucagon signaling pathway - Mus musculus (house mouse),0.013221780136221462,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.013221780136221462,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Oxytocin signaling pathway - Mus musculus (house mouse),0.013221780136221462,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Hippo signaling pathway - Mus musculus (house mouse),0.014485441025493559,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
cAMP signaling pathway - Mus musculus (house mouse),0.01783720788307483,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.021714788634942868,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Regulation of actin cytoskeleton - Mus musculus (house mouse),0.021714788634942868,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Glioma - Mus musculus (house mouse),0.022413848618057872,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.023109032834746756,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Pertussis - Mus musculus (house mouse),0.023109032834746756,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Apoptosis - Mus musculus (house mouse),0.030725793549722036,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Yersinia infection - Mus musculus (house mouse),0.030725793549722036,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Gap junction - Mus musculus (house mouse),0.031367026134337526,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Endocytosis - Mus musculus (house mouse),0.03722705402671546,Down,ExcitatoryNeuronsCA3,24hrvs1hr_PTZ
Parkinson disease - Mus musculus (house mouse),2.523728380417085e-11,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),3.159322273109107e-8,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),1.6253067897314955e-7,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),2.0391755548223128e-7,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),2.3664229930758462e-7,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),5.218329898543167e-7,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),7.170141629163544e-6,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),7.170141629163544e-6,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Huntington disease - Mus musculus (house mouse),1.1573160162142073e-5,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),2.4361054449849742e-5,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),2.873554843238391e-5,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Salivary secretion - Mus musculus (house mouse),7.208887412675812e-5,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Oocyte meiosis - Mus musculus (house mouse),6.49847248416609e-4,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Cardiac muscle contraction - Mus musculus (house mouse),8.614353430974338e-4,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),9.735050662808299e-4,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Thermogenesis - Mus musculus (house mouse),0.0010233592412133947,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.0016751711401947202,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),0.001942853442550524,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),0.001993860530188853,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Hippo signaling pathway - Mus musculus (house mouse),0.0020494380659036495,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Diabetic cardiomyopathy - Mus musculus (house mouse),0.002378854943116947,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Neurotrophin signaling pathway - Mus musculus (house mouse),0.0029906907518905982,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Insulin secretion - Mus musculus (house mouse),0.004498254814026487,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
ATP-dependent chromatin remodeling - Mus musculus (house mouse),0.004915493399334996,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),0.004915493399334996,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Dopaminergic synapse - Mus musculus (house mouse),0.004915493399334996,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Oxidative phosphorylation - Mus musculus (house mouse),0.005509679973550045,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Glucagon signaling pathway - Mus musculus (house mouse),0.00847080912733631,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.00847080912733631,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Non-alcoholic fatty liver disease - Mus musculus (house mouse),0.010199758850327617,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Hepatitis C - Mus musculus (house mouse),0.01152869654853033,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),0.01160007013692861,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Tight junction - Mus musculus (house mouse),0.01160007013692861,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
PI3K-Akt signaling pathway - Mus musculus (house mouse),0.01160007013692861,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.011860428386780846,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.012868869246515157,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Thyroid hormone synthesis - Mus musculus (house mouse),0.013821034775464364,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Apoptosis - Mus musculus (house mouse),0.02095787827572789,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Vasopressin-regulated water reabsorption - Mus musculus (house mouse),0.02466826297980694,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Rap1 signaling pathway - Mus musculus (house mouse),0.031165437966025642,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Lipid and atherosclerosis - Mus musculus (house mouse),0.03178188024196368,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.032812657125329985,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Cell cycle - Mus musculus (house mouse),0.03367493391547393,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Circadian entrainment - Mus musculus (house mouse),0.03367493391547393,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),0.03367493391547393,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Viral carcinogenesis - Mus musculus (house mouse),0.03581355758794548,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Mineral absorption - Mus musculus (house mouse),0.03819862056259358,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Necroptosis - Mus musculus (house mouse),0.048657694342112354,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.048657694342112354,Down,ExcitatoryNeuronsCA3,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),4.759709602579003e-4,Up,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Axon guidance - Mus musculus (house mouse),0.02359769495503373,Up,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Neuroactive ligand signaling - Mus musculus (house mouse),0.02359769495503373,Up,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
Phagosome - Mus musculus (house mouse),2.768153125763316e-4,Down,ExcitatoryNeuronsCA3,PTZvsSAL_1hr
